type,cpu,ram,price
x1.32xlarge,128,"1,952 GiB",$16.006 per Hour
x1e.xlarge,4,122 GiB,$1.00 per Hour
x1e.2xlarge,8,244 GiB,$2.00 per Hour
x1e.4xlarge,16,488 GiB,$4.00 per Hour
x1e.8xlarge,32,976 GiB,$8.00 per Hour
x1e.16xlarge,64,"1,952 GiB",$16.00 per Hour
x1e.32xlarge,128,"3,904 GiB",$32.00 per Hour
r6g.medium,1,8 GiB,$0.0564 per Hour
r6g.large,2,16 GiB,$0.1128 per Hour
r6g.xlarge,4,32 GiB,$0.2256 per Hour
r6g.2xlarge,8,64 GiB,$0.4512 per Hour
r6g.4xlarge,16,128 GiB,$0.9024 per Hour
r6g.8xlarge,32,256 GiB,$1.8048 per Hour
r6g.12xlarge,48,384 GiB,$2.7072 per Hour
r6g.16xlarge,64,512 GiB,$3.6096 per Hour
r6g.metal,64,512 GiB,$3.6096 per Hour
r6gd.medium,1,8 GiB,$0.064 per Hour
r6gd.large,2,16 GiB,$0.128 per Hour
r6gd.xlarge,4,32 GiB,$0.256 per Hour
r6gd.2xlarge,8,64 GiB,$0.512 per Hour
r6gd.4xlarge,16,128 GiB,$1.024 per Hour
r6gd.8xlarge,32,256 GiB,$2.048 per Hour
r6gd.12xlarge,48,384 GiB,$3.072 per Hour
r6gd.16xlarge,64,512 GiB,$4.096 per Hour
r6gd.metal,64,512 GiB,$4.096 per Hour
r5.large,2,16 GiB,$0.141 per Hour
r5.xlarge,4,32 GiB,$0.282 per Hour
r5.2xlarge,8,64 GiB,$0.564 per Hour
r5.4xlarge,16,128 GiB,$1.128 per Hour
r5.8xlarge,32,256 GiB,$2.256 per Hour
r5.12xlarge,48,384 GiB,$3.384 per Hour
r5.16xlarge,64,512 GiB,$4.512 per Hour
r5.24xlarge,96,768 GiB,$6.768 per Hour
r5.metal,96,768 GiB,$6.768 per Hour
r5a.large,2,16 GiB,$0.127 per Hour
r5a.xlarge,4,32 GiB,$0.254 per Hour
r5a.2xlarge,8,64 GiB,$0.508 per Hour
r5a.4xlarge,16,128 GiB,$1.016 per Hour
r5a.8xlarge,32,256 GiB,$2.032 per Hour
r5a.12xlarge,48,384 GiB,$3.048 per Hour
r5a.16xlarge,64,512 GiB,$4.064 per Hour
r5a.24xlarge,96,768 GiB,$6.096 per Hour
r5ad.large,2,16 GiB,$0.146 per Hour
r5ad.xlarge,4,32 GiB,$0.292 per Hour
r5ad.2xlarge,8,64 GiB,$0.584 per Hour
r5ad.4xlarge,16,128 GiB,$1.168 per Hour
r5ad.8xlarge,32,256 GiB,$2.336 per Hour
r5ad.12xlarge,48,384 GiB,$3.504 per Hour
r5ad.16xlarge,64,512 GiB,$4.672 per Hour
r5ad.24xlarge,96,768 GiB,$7.008 per Hour
r5d.large,2,16 GiB,$0.16 per Hour
r5d.xlarge,4,32 GiB,$0.32 per Hour
r5d.2xlarge,8,64 GiB,$0.64 per Hour
r5d.4xlarge,16,128 GiB,$1.28 per Hour
r5d.8xlarge,32,256 GiB,$2.56 per Hour
r5d.12xlarge,48,384 GiB,$3.84 per Hour
r5d.16xlarge,64,512 GiB,$5.12 per Hour
r5d.24xlarge,96,768 GiB,$7.68 per Hour
r5d.metal,96,768 GiB,$7.68 per Hour
r5dn.large,2,16 GiB,$0.186 per Hour
r5dn.xlarge,4,32 GiB,$0.372 per Hour
r5dn.2xlarge,8,64 GiB,$0.744 per Hour
r5dn.4xlarge,16,128 GiB,$1.488 per Hour
r5dn.8xlarge,32,256 GiB,$2.976 per Hour
r5dn.12xlarge,48,384 GiB,$4.464 per Hour
r5dn.16xlarge,64,512 GiB,$5.952 per Hour
r5dn.24xlarge,96,768 GiB,$8.928 per Hour
r5dn.metal,96,768 GiB,$8.928 per Hour
r5n.large,2,16 GiB,$0.167 per Hour
r5n.xlarge,4,32 GiB,$0.334 per Hour
r5n.2xlarge,8,64 GiB,$0.668 per Hour
r5n.4xlarge,16,128 GiB,$1.336 per Hour
r5n.8xlarge,32,256 GiB,$2.672 per Hour
r5n.12xlarge,48,384 GiB,$4.008 per Hour
r5n.16xlarge,64,512 GiB,$5.344 per Hour
r5n.24xlarge,96,768 GiB,$8.016 per Hour
r5n.metal,96,768 GiB,$8.016 per Hour
r4.large,2,15.25 GiB,$0.1482 per Hour
r4.xlarge,4,30.5 GiB,$0.2964 per Hour
